month,year,keywords,eprint,eprinttype,date,urldate,author,shortjournal,journaltitle,number,pages,doi,url,issn,volume,title,ENTRYTYPE,ID,publisher
12,2021,"Condensed Matter - Statistical Mechanics, Quantum Physics","2104.01168 [cond-mat, physics:quant-ph]",arxiv,2021-12-27,2023-07-29,"Dreyer, Henrik and Bejan, Mircea and Granet, Etienne",Phys. Rev. A,Physical Review A,6,062614,10.1103/PhysRevA.104.062614,http://arxiv.org/abs/2104.01168,"2469-9926, 2469-9934",104,Quantum computing critical exponents,article,dreyer_quantum_2021,
9,2022,Quantum Physics,2209.07106 [quant-ph],arxiv,2022-09-15,2023-07-29,"Iqbal, Mohsin and Ramo, David Muñoz and Dreyer, Henrik",,,{arXiv}:2209.07106,,10.48550/arXiv.2209.07106,http://arxiv.org/abs/2209.07106,,,Preentangling Quantum Algorithms -- the Density Matrix Renormalization Group-assisted Quantum Canonical Transformation,article,iqbal_preentangling_2022,{arXiv}
2,2023,"Condensed Matter - Strongly Correlated Electrons, Quantum Physics","2302.01917 [cond-mat, physics:quant-ph]",arxiv,2023-02-09,2023-07-29,"Iqbal, Mohsin and Tantivasadakarn, Nathanan and Gatterman, Thomas M. and Gerber, Justin A. and Gilmore, Kevin and Gresh, Dan and Hankin, Aaron and Hewitt, Nathan and Horst, Chandler V. and Matheny, Mitchell and Mengle, Tanner and Neyenhuis, Brian and Vishwanath, Ashvin and Foss-Feig, Michael and Verresen, Ruben and Dreyer, Henrik",,,{arXiv}:2302.01917,,10.48550/arXiv.2302.01917,http://arxiv.org/abs/2302.01917,,,Topological Order from Measurements and Feed-Forward on a Trapped Ion Quantum Computer,article,iqbal_topological_2023,{arXiv}
2,2023,"Condensed Matter - Strongly Correlated Electrons, Physics - Computational Physics","2212.05475 [cond-mat, physics:physics]",arxiv,2023-02-17,2023-07-29,"Ghanem, Khaldoon and Koch, Erik",Phys. Rev. B,Physical Review B,8,085129,10.1103/PhysRevB.107.085129,http://arxiv.org/abs/2212.05475,"2469-9950, 2469-9969",107,Connecting Tikhonov regularization to the maximum entropy method for the analytic continuation of quantum Monte Carlo data,article,ghanem_connecting_2023,
3,2023,Quantum Physics,2206.06400 [quant-ph],arxiv,2023-03-30,2023-07-29,"Matos, Gabriel and Self, Chris N. and Papić, Zlatko and Meichanetzidis, Konstantinos and Dreyer, Henrik",Quantum,Quantum,,966,10.22331/q-2023-03-30-966,http://arxiv.org/abs/2206.06400,2521-327X,7,Characterization of variational quantum algorithms using free fermions,article,matos_characterization_2023,
4,2023,"Condensed Matter - Quantum Gases, Condensed Matter - Statistical Mechanics, Condensed Matter - Strongly Correlated Electrons, Quantum Physics","2206.01756 [cond-mat, physics:quant-ph]",arxiv,2023-04-24,2023-07-29,"Schuckert, Alexander and Bohrdt, Annabelle and Crane, Eleanor and Knap, Michael",Phys. Rev. B,Physical Review B,14,L140410,10.1103/PhysRevB.107.L140410,http://arxiv.org/abs/2206.01756,"2469-9950, 2469-9969",107,Probing finite-temperature observables in quantum simulators of spin systems with short-time dynamics,article,schuckert_probing_2023,
5,2023,"Condensed Matter - Strongly Correlated Electrons, Quantum Physics","2305.03766 [cond-mat, physics:quant-ph]",arxiv,2023-05-05,2023-07-29,"Iqbal, Mohsin and Tantivasadakarn, Nathanan and Verresen, Ruben and Campbell, Sara L. and Dreiling, Joan M. and Figgatt, Caroline and Gaebler, John P. and Johansen, Jacob and Mills, Michael and Moses, Steven A. and Pino, Juan M. and Ransford, Anthony and Rowe, Mary and Siegfried, Peter and Stutz, Russell P. and Foss-Feig, Michael and Vishwanath, Ashvin and Dreyer, Henrik",,,{arXiv}:2305.03766,,10.48550/arXiv.2305.03766,http://arxiv.org/abs/2305.03766,,,Creation of Non-Abelian Topological Order and Anyons on a Trapped-Ion Processor,article,iqbal_creation_2023,{arXiv}
5,2023,"Condensed Matter - Statistical Mechanics, Condensed Matter - Strongly Correlated Electrons, Quantum Physics","2305.19322 [cond-mat, physics:quant-ph]",arxiv,2023-05-30,2023-07-29,"Ghanem, Khaldoon and Schuckert, Alexander and Dreyer, Henrik",,,{arXiv}:2305.19322,,10.48550/arXiv.2305.19322,http://arxiv.org/abs/2305.19322,,,Robust Extraction of Thermal Observables from State Sampling and Real-Time Dynamics on Quantum Computers,article,ghanem_robust_2023,{arXiv}
6,2023,"Condensed Matter - Statistical Mechanics, Condensed Matter - Strongly Correlated Electrons, Quantum Physics","2212.10584 [cond-mat, physics:quant-ph]",arxiv,2023-06-08,2023-07-29,"Granet, Etienne and Zhang, Carolyn and Dreyer, Henrik",Phys. Rev. Lett.,Physical Review Letters,23,230401,10.1103/PhysRevLett.130.230401,http://arxiv.org/abs/2212.10584,"0031-9007, 1079-7114",130,Volume-law to area-law entanglement transition in a non-unitary periodic Gaussian circuit,article,granet_volume-law_2023,
7,2023,"Condensed Matter - Strongly Correlated Electrons, Mathematical Physics, Physics - Computational Physics","2307.11446 [cond-mat, physics:math-ph, physics:physics]",arxiv,2023-07-21,2023-07-29,"Ghanem, Khaldoon and Koch, Erik",,,{arXiv}:2307.11446,,10.48550/arXiv.2307.11446,http://arxiv.org/abs/2307.11446,,,Generalized Maximum Entropy Methods as Limits of the Average Spectrum Method,article,ghanem_generalized_2023,{arXiv}
